,0N,50N,100N,150N
1,5.43,22.04,25.41,23.88
2,3.58,25.3,19.54,37.44
3,6.72,20.56,25.22,30.13
4,6.2,23.54,16.23,23.85
5,3.05,17.33,22.7,30.34
6,3.71,18.6,23.59,36.03
7,3.25,18.45,17.7,32.12
8,8.18,14.11,18.07,30.94
9,6.8,15.69,27.13,25.56
10,6.69,21.6,26.65,
11,,,18.72,
12,,,21.89,
13,,,20.83,
14,,,17.82,
15,,,36.18,
16,,,29.5,
17,,,20.84,
18,,,17.27,
19,,,,
20,,,,
