Date,Tmax,Tmin,Tmean,RHmax,RHmin,RHmean,RAD
06/03/2023,33.11851851851851,30.572222222222237,31.862115439326278,45.06296296296295,29.87454545454546,38.87989092455868,0.0
06/04/2023,34.68461538461538,26.01296296296296,31.71603520473086,48.52222222222223,30.10192307692308,36.582244089426204,1.765084280777613
06/05/2023,30.97454545454545,21.38518518518518,26.407207652129724,68.53636363636365,38.93454545454546,53.466019008791775,4.935487057411182
06/06/2023,32.06909090909092,20.8,25.184960764329094,74.32037037037038,40.67636363636363,60.60568418668501,4.784418716108471
06/07/2023,30.010909090909088,20.71296296296296,24.41161790174095,62.82037037037038,27.49818181818182,42.63940678317217,5.125220281294094
06/08/2023,30.947272727272743,19.954545454545453,24.820324850915505,44.08545454545455,20.28518518518518,32.031775313982045,5.339144756532699
06/09/2023,33.20185185185184,18.796296296296298,26.059164104816272,56.00185185185186,20.83333333333333,35.96564631825502,5.308674389806257
06/10/2023,30.546296296296287,19.475925925925928,23.733276019699314,63.86545454545456,37.54074074074073,53.21576409432029,3.255661855403603
06/11/2023,24.16111111111111,17.16909090909091,20.674718168836293,58.956363636363626,23.02363636363637,39.463029916335906,5.613696156828681
06/12/2023,29.696296296296296,17.51698113207547,23.16543913292067,56.28867924528303,21.39814814814815,38.02208848120251,4.8760024721485
06/13/2023,33.416666666666664,18.256363636363638,25.654830509083176,58.715094339622645,19.985454545454548,37.02443138251646,5.175423632114534
06/14/2023,30.28888888888888,19.063636363636355,24.53502702717633,62.72363636363635,29.592727272727277,46.5779818419359,4.3311771370466685
06/15/2023,25.62363636363636,18.935185185185187,21.762601486563753,65.22363636363634,31.670909090909092,48.31822775195211,5.330276164173604
06/16/2023,29.14,17.450909090909093,22.609586817035545,58.15636363636363,31.616363636363637,44.84467764878758,5.211392725361713
06/17/2023,32.42000000000001,18.776363636363637,25.32204453614626,68.51636363636364,26.72777777777777,44.90209110520022,4.674201650471307
06/18/2023,28.85555555555556,21.08181818181817,23.65531202094779,79.77999999999999,46.0611111111111,59.02139607726154,4.367253008250132
06/19/2023,35.32545454545454,20.5309090909091,27.27883309441144,82.43518518518519,33.68545454545454,58.80382852313123,4.805444729211775
06/20/2023,35.86111111111112,22.647272727272725,29.096629129689013,66.54074074074076,22.08888888888889,42.70964040183072,5.134011633795725
06/21/2023,36.56111111111112,21.316666666666656,28.9296273647053,56.96296296296296,25.353703703703697,41.206440588548865,5.053559952557825
06/22/2023,35.49259259259259,22.392592592592607,29.06590040409565,65.24074074074075,27.08148148148148,45.07111213308915,3.841966858083875
06/23/2023,36.74444444444445,22.2818181818182,27.842715147095785,72.77454545454545,28.383333333333333,48.76236137696351,3.8576466704434376
06/24/2023,32.00727272727272,21.427777777777784,24.791804813240418,75.31481481481481,41.39636363636364,61.42974038995367,3.270986160012048
06/25/2023,25.15925925925926,20.42264150943397,22.01043072231752,84.90727272727274,61.4,75.89488925348645,4.965149387864205
06/26/2023,31.038181818181823,20.237037037037044,24.105005206563863,84.14814814814814,30.630909090909096,60.96239286493594,5.354986508412331
06/27/2023,33.970909090909096,20.25555555555556,26.117408926563968,69.77407407407406,31.61636363636364,50.01443510853683,4.1570032296122825
06/28/2023,31.078181818181825,21.56545454545453,25.98743295685871,71.96909090909091,43.00943396226416,57.32990213869623,3.9292278292853067
06/29/2023,35.461818181818195,20.45818181818181,27.198676538422234,79.13636363636364,33.767272727272726,55.528480429120314,4.804903179327508
06/30/2023,32.48545454545454,20.581818181818186,26.8174129316131,67.45454545454545,34.06363636363637,50.133646113859406,4.535694195649442
07/01/2023,33.96181818181818,20.94727272727272,27.117898730261324,75.50000000000001,31.14363636363636,52.22127032732232,4.518318062451544
07/02/2023,35.76181818181818,20.76296296296297,27.901461511477915,79.39629629629631,30.958181818181824,51.65292611651102,4.607380462539857
07/03/2023,37.8037037037037,23.04727272727273,29.244137050018914,68.2537037037037,34.09074074074074,53.889644241153675,4.439566222627374
07/04/2023,28.526415094339622,20.9090909090909,24.411672950450633,85.04814814814814,55.92641509433962,70.39886673682406,4.324452423563443
07/05/2023,29.49636363636363,20.116363636363637,24.032639216888597,78.34000000000002,31.470370370370368,54.45511267998551,5.202706302884318
07/06/2023,27.594339622641517,17.86909090909091,22.479553340349074,68.9309090909091,26.26981132075472,45.74059932107512,6.219966608905466
07/07/2023,26.35272727272728,18.48301886792453,22.872268708413092,63.04150943396227,33.7,46.793052786547456,4.663930235558205
07/08/2023,29.40925925925926,18.398148148148145,23.600613628767857,69.3111111111111,29.003703703703696,48.049311545866104,5.201895668115973
07/09/2023,33.162962962962965,18.53636363636363,25.4364016705198,60.67454545454545,26.93148148148148,42.599764005933004,5.004321868376739
07/10/2023,37.13518518518518,21.07818181818182,27.512549144714853,66.31636363636362,31.59818181818181,48.20751090340099,4.621796285593501
07/11/2023,27.53703703703704,18.91818181818181,22.65958493880561,56.09454545454547,28.348148148148148,42.57077203536596,4.022003402944375
07/12/2023,29.381818181818183,19.19090909090909,22.84546700253837,71.85000000000001,31.12,54.08528362653055,3.534038749608513
07/13/2023,33.535185185185185,20.220370370370368,25.94829926279475,81.22222222222223,29.74814814814815,57.59753388409664,5.432340767055915
07/14/2023,34.67454545454545,20.481818181818188,26.057034606386537,81.9109090909091,31.83962264150943,59.763524802302484,3.640347963968469
07/15/2023,30.562962962962963,20.2037037037037,24.225166706717165,74.2388888888889,34.779629629629625,52.21720088497776,4.525228416520902
07/16/2023,29.10740740740741,19.25818181818181,22.916814798242196,68.02407407407408,29.703636363636363,49.78102451918694,4.948980262824863
