Date,0N,50N,100N,150N
7/26/2023,0,1,0,0
7/29/2023,0,0,0,0
8/1/2023,3,2,0,0
8/4/2023,2,1,1,0
8/7/2023,2,3,2,0
8/11/2023,7,6,6,4
8/13/2023,5,5,9,9
8/17/2023,6,12,9,12
8/21/2023,5,10,13,12
8/24/2023,2,2,6,10
8/27/2023,2,7,7,8
8/31/2023,5,7,7,6
9/5/2023,4,7,10,1
9/9/2023,1,2,3,4
9/13/2023,2,4,5,2
9/17/2023,2,2,2,3
9/21/2023,0,3,4,3
9/24/2023,0,3,1,3
9/28/2023,2,2,8,6
