Date,0N,50N,100N,150N
7/29/2022,17.33,47.68,63.53,45.13
8/2/2022,5.15,39.46,91.63,33.35
8/5/2022,30.3,4.55,31.37,44.86
8/9/2022,18.12,,21.68,19.18
8/12/2022,27.67,40.79,41.07,32.92
8/16/2022,28.48,46.28,110.72,48.84
8/22/2022,8.46,18.02,71.77,45.44
8/30/2022,21.26,93.59,124.76,33.22
9/6/2022,4.93,52.74,137.62,44.89
9/9/2022,2.56,37.17,59.86,54.29
9/13/2022,4.86,94.22,166.01,68.43
9/16/2022,,41.69,146.27,98.21
9/20/2022,,38.75,181.35,126.44
9/23/2022,2.22,16.7,69.02,51.62
9/27/2022,,105.07,88.49,25.6
9/30/2022,4.27,51.4,90.18,49.3
10/4/2022,,36.48,106.682,58.82
10/7/2022,,29.44,28.34,29.58
10/11/2022,9.98,78.87,20.68,53.9
10/14/2022,2.65,47.38,41.97,15.25
10/18/2022,4.14,69.36,42.29,50.48
10/21/2022,,73.32,43.85,
11/1/2022,47.44,30.96,38.64,
