Date,0N,50N,100N,150N
7/29/2022,2,5,6,4
8/2/2022,1,5,11,4
8/5/2022,5,1,4,7
8/9/2022,3,0,3,3
8/12/2022,4,4,6,5
8/16/2022,4,7,12,7
8/22/2022,1,2,8,8
8/30/2022,5,14,16,7
9/6/2022,1,9,17,6
9/9/2022,1,4,7,7
9/13/2022,2,9,17,8
9/16/2022,0,4,15,9
9/20/2022,0,4,19,13
9/23/2022,1,2,11,5
9/27/2022,0,14,14,6
9/30/2022,1,7,16,10
10/4/2022,0,5,16,9
10/7/2022,0,5,5,3
10/11/2022,3,10,5,8
10/14/2022,1,5,6,3
10/18/2022,1,7,7,5
10/21/2022,0,8,8,0
11/1/2022,7,5,5,0
