Date,0N,50N,100N,150N
7/26/2023,,1.47,,
7/29/2023,,,,
8/1/2023,2.89,1.31,,
8/4/2023,2.09,1.47,1.28,
8/7/2023,2.94,5.27,2.67,
8/11/2023,8.15,7.28,7.72,5.15
8/13/2023,3.26,7.54,11.08,11.44
8/17/2023,4.09,14.03,9.05,11.45
8/21/2023,4.08,11.24,11.26,10.2
8/24/2023,1.07,1.6,5.37,7.88
8/27/2023,1.66,4.38,5.85,5.38
8/31/2023,3.91,6.6,6.07,4.88
9/5/2023,2.41,7.35,11.45,1.25
9/9/2023,0.91,0.68,1.06,4.29
9/13/2023,1.07,4.03,4.49,1.98
9/17/2023,0.91,1.26,1.4,3.48
9/21/2023,,3.11,4.73,4.29
9/24/2023,,3.02,1.12,4.58
9/28/2023,0.94,1.46,8.13,5.03
