Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
07/22/2022,11.5,10.88,9.72,7.79,8.05,8.4,11.6,12.44,13.84,9.42,10.35,12.42,10.09,8.04,12.14,12.07,11.73,10.35,8.04,9.79
07/26/2022,16.89,12.77,13.72,9.77,9.44,10.37,16.7,16.75,20.4,11.97,15.45,16.8,11.95,9.52,15.13,16.31,15.53,10.86,9.08,11.61
07/29/2022,20.75,15.73,16.79,9.43,11.97,13.04,21.69,21.84,23.26,12.13,17.55,19.55,17.33,10.63,18.99,18.45,20.73,13.9,11.23,11.98
08/02/2022,21.02,21.36,20.44,16.89,16.97,20.5,22.45,23.32,15.74,18.93,19.16,24.86,20.68,15.36,25.8,19.78,24.94,21.33,16.75,18.96
08/05/2022,23.39,23.56,9.43,22.35,22.28,22.39,9.67,11.32,20.65,24.49,7.87,12.1,21.55,16.85,28.27,16.9,10.63,23.43,17.17,23.24
08/09/2022,9.91,4.07,10.72,25.16,21.26,10.54,10.75,11.22,26.57,24.19,12.51,17.99,8.98,14.23,9.05,8.36,13.91,6.41,14.1,26.75
08/12/2022,12.4,,13.04,24.06,,15.93,16.35,21.17,27.47,25.66,17.2,22.2,11.2,,12.14,11.52,20.29,,12.5,11.08
08/16/2022,16.95,12.07,18.06,17.59,10.17,18.54,18.9,26.64,29.49,12.61,17.36,14.76,16.25,11.25,18.82,15.35,23.16,9.56,16.0,13.33
08/19/2022,19.46,14.52,20.94,21.16,11.97,18.04,13.89,27.29,10.4,17.12,17.99,19.7,18.5,14.56,21.8,16.33,8.29,10.7,23.42,17.88
08/23/2022,18.92,17.54,22.74,24.87,15.86,12.46,18.39,7.81,14.62,20.72,22.75,23.81,16.69,19.6,19.37,12.53,8.7,13.59,10.29,22.28
08/30/2022,,16.78,21.14,22.29,19.98,,21.98,11.19,22.33,22.16,25.75,17.87,,27.6,12.13,,15.08,18.45,15.3,18.96
09/06/2022,14.79,5.26,17.49,10.39,20.74,19.39,18.39,21.23,21.25,8.17,12.25,7.81,17.74,12.74,10.33,6.74,17.06,11.68,25.26,14.64
09/09/2022,18.38,4.13,18.79,13.17,9.84,25.85,,25.43,20.07,11.73,,,22.35,15.73,,7.11,15.2,15.02,28.51,19.12
09/13/2022,3.95,4.48,20.78,13.49,11.17,32.45,7.69,26.34,25.22,16.48,14.89,11.21,27.89,20.47,15.69,7.06,,20.18,11.94,20.57
09/16/2022,5.77,4.5,5.04,9.89,13.98,11.62,9.26,10.61,12.36,20.31,19.46,13.34,10.43,26.3,19.23,6.69,8.69,25.05,15.83,6.19
09/20/2022,,,,14.43,16.15,23.09,14.06,14.83,16.84,24.49,23.91,20.3,13.76,29.13,19.97,6.47,11.52,8.87,19.86,9.75
09/23/2022,6.73,8.19,7.49,15.98,16.67,21.1,17.18,17.16,21.5,9.93,18.5,24.8,13.16,8.56,13.14,,9.4,7.0,21.68,7.7
09/27/2022,7.31,9.3,6.86,18.89,4.48,19.36,19.02,22.55,25.41,11.2,,29.29,20.81,12.33,18.39,11.85,17.19,11.82,,12.37
09/30/2022,7.19,11.06,8.91,18.7,,11.85,10.53,24.92,6.71,14.39,8.03,7.03,22.55,14.97,11.18,10.82,18.26,13.28,10.92,15.68
10/04/2022,10.54,13.56,13.34,6.09,14.08,16.19,16.45,26.63,10.31,21.57,11.28,9.88,,16.9,14.86,12.08,17.46,17.08,17.01,20.57
10/07/2022,12.61,17.77,15.93,6.51,16.4,21.86,20.4,9.86,11.92,24.22,15.88,10.86,8.06,7.67,17.09,9.25,10.84,9.89,21.29,11.13
10/11/2022,16.34,18.81,18.32,7.71,17.48,23.1,23.84,11.55,13.75,25.47,17.66,18.15,9.47,8.42,24.47,12.42,14.4,12.58,25.49,13.6
10/14/2022,6.4,3.08,11.45,3.77,6.3,12.62,10.29,12.69,17.6,7.3,10.55,17.64,8.87,6.1,23.17,9.81,14.57,13.65,11.45,13.83
10/18/2022,15.9,12.28,8.35,12.3,7.81,17.8,14.05,17.2,,9.58,14.53,16.27,16.13,,7.68,11.64,15.09,19.73,15.79,19.01
10/21/2022,16.11,14.57,10.62,11.25,7.27,18.93,16.55,19.35,25.42,13.82,16.97,12.25,15.79,15.78,7.03,9.74,14.13,21.09,13.45,23.07
11/01/2022,15.04,22.21,17.48,11.63,12.67,6.02,17.78,21.28,,10.62,16.2,,13.25,14.01,,,13.5,16.38,,19.57
