Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
07/26/2023,7.62,11.04,,10.36,13.18,14.53,,12.08,11.79,11.22,,10.09,13.02,,,12.17,,,10.96,
07/29/2023,10.93,12.96,11.28,12.16,15.23,21.82,17.03,17.03,15.76,15.47,10.89,14.19,16.36,10.04,17.01,16.35,14.07,14.5,14.87,15.02
08/01/2023,11.93,15.5,13.42,14.78,18.94,27.68,20.0,19.81,17.34,16.45,15.78,15.72,19.58,14.43,19.66,17.8,18.36,16.27,15.79,18.39
08/04/2023,13.68,18.12,18.98,17.64,24.62,8.43,25.16,26.48,22.19,20.85,18.15,19.53,23.23,15.35,25.58,24.26,23.64,17.89,19.71,18.3
08/07/2023,16.42,23.69,20.34,21.22,29.46,12.61,33.02,33.08,27.36,26.31,18.75,25.3,30.76,20.81,32.3,31.81,30.55,21.01,25.41,24.13
08/11/2023,23.62,27.26,24.76,26.17,31.84,16.16,33.32,36.3,32.69,32.62,22.52,30.93,28.65,25.98,36.81,36.88,35.01,27.22,26.6,30.18
08/13/2023,24.95,9.09,28.55,26.98,6.04,18.0,34.85,34.9,,,29.16,10.61,30.16,29.65,37.94,36.92,10.42,27.9,8.7,31.43
08/17/2023,7.51,11.29,31.23,6.99,8.72,20.0,,9.74,7.66,6.35,34.06,10.52,7.41,27.91,6.48,8.58,14.56,6.84,10.13,
08/21/2023,11.3,13.43,,8.13,10.14,23.94,,12.61,10.9,7.08,,9.91,11.99,,7.91,9.58,16.94,,,
08/24/2023,13.41,14.88,9.53,9.54,11.2,29.04,10.55,15.86,12.66,7.47,9.14,,16.6,10.15,9.02,9.0,20.68,,,
08/27/2023,14.18,17.06,10.3,10.79,13.96,,11.98,20.34,14.49,8.14,11.99,7.23,19.18,13.75,10.96,9.7,26.2,,5.99,9.48
08/31/2023,17.92,21.76,11.92,14.77,18.31,12.31,12.57,27.85,20.22,10.3,14.88,,25.96,19.6,16.27,,31.52,5.85,6.43,13.82
09/05/2023,25.78,7.03,17.26,18.87,23.56,16.71,21.39,30.17,25.02,15.28,19.0,6.46,32.42,29.56,21.58,,,6.0,9.96,19.82
09/09/2023,28.53,6.98,22.07,7.82,,21.22,24.65,,,18.56,26.44,6.8,,35.86,,7.5,9.9,6.16,11.92,25.9
09/13/2023,,7.56,24.72,7.74,,26.52,25.43,,8.77,,29.55,6.34,,37.67,10.44,7.88,13.97,5.59,15.43,32.1
09/17/2023,9.95,8.51,,10.45,,27.86,,,12.04,7.74,,6.55,12.88,,15.15,6.78,17.48,6.25,17.79,33.97
09/21/2023,8.52,12.32,,14.78,,,7.14,10.85,14.77,11.41,7.98,6.77,18.09,10.13,19.75,,21.69,,22.59,
09/24/2023,10.11,14.58,5.86,18.65,,,7.06,11.24,16.67,13.55,10.08,7.4,21.12,11.14,22.87,,25.58,,26.35,
09/28/2023,10.31,14.92,6.56,21.49,,,8.24,11.89,20.64,16.39,11.38,8.76,27.31,13.52,28.04,,29.47,,29.12,
